table_row,ordering_cd,st_country_cd,us_or_foreign,state_country_of_origin,assignee_name,CY_2010,CY_2011,CY_2012,CY_2013,CY_2014,CY_ALL
6407,21,MA,(U.S.),MASSACHUSETTS,"MMI-IPCO, LLC",4,3,5,1,1,14
6408,21,MA,(U.S.),MASSACHUSETTS,"NOVELL, INC.",8,2,1,1,2,14
6409,21,MA,(U.S.),MASSACHUSETTS,OLYMPUS ENDO TECHNOLOGY AMERICA INC.,0,0,2,8,4,14
6410,21,MA,(U.S.),MASSACHUSETTS,PERMABIT TECHNOLOGY CORPORATION,4,6,1,2,1,14
6411,21,MA,(U.S.),MASSACHUSETTS,"PRYSM, INC.",1,5,4,2,2,14
6412,21,MA,(U.S.),MASSACHUSETTS,ROBERT BOSCH GMBH,4,0,6,2,2,14
6413,21,MA,(U.S.),MASSACHUSETTS,ROCKSTAR CONSORTIUM US LP,0,0,0,5,9,14
6414,21,MA,(U.S.),MASSACHUSETTS,SANOFI PASTEUR LIMITED,2,7,4,1,0,14
6415,21,MA,(U.S.),MASSACHUSETTS,"T2 BIOSYSTEMS, INC.",0,0,4,6,4,14
6416,21,MA,(U.S.),MASSACHUSETTS,"TEGO, INC.",0,0,11,3,0,14
6417,21,MA,(U.S.),MASSACHUSETTS,TRI-COUNTY EXCELSIOR FOUNDATION,0,3,1,5,5,14
6418,21,MA,(U.S.),MASSACHUSETTS,"TUFTS MEDICAL CENTER, INC.",1,1,2,7,3,14
6419,21,MA,(U.S.),MASSACHUSETTS,TYCO ELECTRONICS CORPORATION,2,0,2,4,6,14
6420,21,MA,(U.S.),MASSACHUSETTS,"UNIVERSITY OF CALIFORNIA, THE REGENTS OF",1,1,4,5,3,14
6421,21,MA,(U.S.),MASSACHUSETTS,"YAHOO, INC.",1,1,5,4,3,14
6422,21,MA,(U.S.),MASSACHUSETTS,"ZENA TECHNOLOGIES, INC.",1,0,3,3,7,14
6423,21,MA,(U.S.),MASSACHUSETTS,"AVEDRO, INC.",0,0,2,7,4,13
6424,21,MA,(U.S.),MASSACHUSETTS,CANON KABUSHIKI KAISHA,3,1,3,3,3,13
6425,21,MA,(U.S.),MASSACHUSETTS,"CARDIOFOCUS, INC.",0,2,5,3,3,13
6426,21,MA,(U.S.),MASSACHUSETTS,"ETHICON, INC.",6,5,0,2,0,13
6427,21,MA,(U.S.),MASSACHUSETTS,"FUSION OPTIX, INC.",2,3,2,3,3,13
6428,21,MA,(U.S.),MASSACHUSETTS,GENLYTE THOMAS GROUP LLC,3,6,1,2,1,13
6429,21,MA,(U.S.),MASSACHUSETTS,HANDY & HARMAN,1,1,5,3,3,13
6430,21,MA,(U.S.),MASSACHUSETTS,"IMATX, INC.",0,5,2,1,5,13
6431,21,MA,(U.S.),MASSACHUSETTS,INSTRUMENTATION LABORATORY COMPANY,2,2,3,2,4,13
6432,21,MA,(U.S.),MASSACHUSETTS,"KENET, INC.",6,4,1,2,0,13
6433,21,MA,(U.S.),MASSACHUSETTS,LIFE TECHNOLOGIES CORPORATION,1,2,3,3,4,13
6434,21,MA,(U.S.),MASSACHUSETTS,NOVA BIOMEDICAL CORPORATION,4,4,0,3,2,13
6435,21,MA,(U.S.),MASSACHUSETTS,NVIDIA CORPORATION,2,4,2,4,1,13
6436,21,MA,(U.S.),MASSACHUSETTS,"PINE VALLEY INVESTMENTS, INC.",1,2,5,3,2,13
6437,21,MA,(U.S.),MASSACHUSETTS,PROTONEX TECHNOLOGY CORPORATION,2,3,2,3,3,13
6438,21,MA,(U.S.),MASSACHUSETTS,"QD VISION, INC.",0,0,0,6,7,13
6439,21,MA,(U.S.),MASSACHUSETTS,"SIONYX, INC.",1,3,3,1,5,13
6440,21,MA,(U.S.),MASSACHUSETTS,THERMO FISHER SCIENTIFIC INC.,3,2,2,2,4,13
6441,21,MA,(U.S.),MASSACHUSETTS,THERMO SCIENTIFIC PORTABLE ANALYTICAL INSTRUMENTS INC.,0,0,2,5,6,13
6442,21,MA,(U.S.),MASSACHUSETTS,"ALLERGAN, INC.",1,1,2,2,6,12
6443,21,MA,(U.S.),MASSACHUSETTS,"ANGIODYNAMICS, INC.",0,0,4,5,3,12
6444,21,MA,(U.S.),MASSACHUSETTS,"APPLIED BIOSYSTEMS, LLC.",3,3,2,2,2,12
6445,21,MA,(U.S.),MASSACHUSETTS,"ASPEN TECHNOLOGY, INC.",2,2,1,4,3,12
6446,21,MA,(U.S.),MASSACHUSETTS,"AUTODESK, INC.",4,1,3,1,3,12
6447,21,MA,(U.S.),MASSACHUSETTS,"AYLUS NETWORKS, INC.",4,1,1,5,1,12
6448,21,MA,(U.S.),MASSACHUSETTS,"BIND BIOSCIENCES, INC.",0,0,8,2,2,12
6449,21,MA,(U.S.),MASSACHUSETTS,"CARDIOSOLUTIONS, INC.",0,0,2,6,4,12
6450,21,MA,(U.S.),MASSACHUSETTS,CHARM SCIENCES INC.,2,3,1,4,2,12
6451,21,MA,(U.S.),MASSACHUSETTS,"CONFLUENT SURGICAL, INC.",0,1,3,5,3,12
6452,21,MA,(U.S.),MASSACHUSETTS,DICTAPHONE CORPORATION,4,4,3,1,0,12
6453,21,MA,(U.S.),MASSACHUSETTS,"GENERAL COMPRESSION, INC.",0,0,5,6,1,12
6454,21,MA,(U.S.),MASSACHUSETTS,"OPKO DIAGNOSTICS, LLC",0,0,3,5,4,12
6455,21,MA,(U.S.),MASSACHUSETTS,PARKER-HANNIFIN CORPORATION,2,2,3,2,3,12
6456,21,MA,(U.S.),MASSACHUSETTS,SEALED AIR CORPORATION (U.S.),1,5,3,3,0,12
6457,21,MA,(U.S.),MASSACHUSETTS,SEPRACOR INC.,9,3,0,0,0,12
6458,21,MA,(U.S.),MASSACHUSETTS,"SIRTRIS PHARMACEUTICALS, INC.",2,2,7,1,0,12
6459,21,MA,(U.S.),MASSACHUSETTS,THORATEC CORPORATION,1,0,2,4,5,12
6460,21,MA,(U.S.),MASSACHUSETTS,"TWIN CREEKS TECHNOLOGIES, INC.",2,4,6,0,0,12
6461,21,MA,(U.S.),MASSACHUSETTS,"VISEN MEDICAL, INC.",0,1,2,3,6,12
6462,21,MA,(U.S.),MASSACHUSETTS,"VOICE SIGNAL TECHNOLOGIES, INC.",5,5,2,0,0,12
6463,21,MA,(U.S.),MASSACHUSETTS,"ACME PACKET, INC",4,2,1,2,2,11
6464,21,MA,(U.S.),MASSACHUSETTS,"AGILTRON, INC.",4,2,3,0,2,11
6465,21,MA,(U.S.),MASSACHUSETTS,"APOLLO DIAMOND, INC.",1,4,4,2,0,11
6466,21,MA,(U.S.),MASSACHUSETTS,"ARIAD PHARMACEUTICALS, INC.",1,2,2,3,3,11
6467,21,MA,(U.S.),MASSACHUSETTS,BAXTER INTERNATIONAL INC.,0,4,3,2,2,11
6468,21,MA,(U.S.),MASSACHUSETTS,"BEA SYSTEMS, INC.",11,0,0,0,0,11
6469,21,MA,(U.S.),MASSACHUSETTS,BOSTON COLLEGE,5,1,2,2,1,11
6470,21,MA,(U.S.),MASSACHUSETTS,"CORESTREET, LTD.",5,1,5,0,0,11
6471,21,MA,(U.S.),MASSACHUSETTS,"CYALUME TECHNOLOGIES, INC.",5,1,1,4,0,11
6472,21,MA,(U.S.),MASSACHUSETTS,DIALOGIC CORPORATION,2,1,1,4,3,11
6473,21,MA,(U.S.),MASSACHUSETTS,FLODESIGN WIND TURBINE CORPORATION,0,5,0,4,2,11
6474,21,MA,(U.S.),MASSACHUSETTS,"INFINITY DISCOVERY, INC.",1,4,2,4,0,11
6529,21,MA,(U.S.),MASSACHUSETTS,"TQ DELTA, LLC",0,0,0,4,6,10
6475,21,MA,(U.S.),MASSACHUSETTS,INTERNATIONAL GAME TECHNOLOGY (IGT),3,1,2,3,2,11
6476,21,MA,(U.S.),MASSACHUSETTS,"JENTEK SENSORS, INC.",2,3,2,2,2,11
6477,21,MA,(U.S.),MASSACHUSETTS,"KAZAK COMPOSITES, INC.",4,3,4,0,0,11
6478,21,MA,(U.S.),MASSACHUSETTS,"LOJACK OPERATING COMPANY, LP",2,2,7,0,0,11
6479,21,MA,(U.S.),MASSACHUSETTS,"MICROLINE SURGICAL, INC.",0,2,2,3,4,11
6480,21,MA,(U.S.),MASSACHUSETTS,PEGASYSTEMS INC.,2,1,2,3,3,11
6481,21,MA,(U.S.),MASSACHUSETTS,PFIZER INC.,0,0,1,2,8,11
6482,21,MA,(U.S.),MASSACHUSETTS,"QINETIQ NORTH AMERICA, INC.",0,0,3,6,2,11
6483,21,MA,(U.S.),MASSACHUSETTS,"SEPATON, INC.",0,0,2,8,1,11
6484,21,MA,(U.S.),MASSACHUSETTS,"SOANE ENERGY, LLC",0,2,1,3,5,11
6485,21,MA,(U.S.),MASSACHUSETTS,"SONUS NETWORKS, INC.",1,2,1,2,5,11
6486,21,MA,(U.S.),MASSACHUSETTS,STRYKER CORPORATION,0,1,3,4,3,11
6487,21,MA,(U.S.),MASSACHUSETTS,UNIVERSITY OF CONNECTICUT,3,4,2,1,1,11
6488,21,MA,(U.S.),MASSACHUSETTS,VERIZON SERVICES ORGANIZATION INC.,3,2,2,4,0,11
6489,21,MA,(U.S.),MASSACHUSETTS,"ABIOMED, INC.",0,1,1,3,5,10
6490,21,MA,(U.S.),MASSACHUSETTS,"ADVANCED CELL TECHNOLOGY, INC.",4,2,1,0,3,10
6491,21,MA,(U.S.),MASSACHUSETTS,"AFFYMETRIX, INC.",3,3,2,2,0,10
6492,21,MA,(U.S.),MASSACHUSETTS,AMPHENOL CORPORATION,2,0,3,3,2,10
6493,21,MA,(U.S.),MASSACHUSETTS,AXEDA CORPORATION,0,4,2,0,4,10
6494,21,MA,(U.S.),MASSACHUSETTS,BANK OF AMERICA CORPORATION,0,1,3,3,3,10
6495,21,MA,(U.S.),MASSACHUSETTS,"BEAVER-VISITEC INTERNATIONAL (US), INC.",0,4,0,2,4,10
6496,21,MA,(U.S.),MASSACHUSETTS,"BRUKER DALTONICS, INC.",3,1,2,2,2,10
6497,21,MA,(U.S.),MASSACHUSETTS,"CAVIUM, INC.",0,0,0,7,3,10
6498,21,MA,(U.S.),MASSACHUSETTS,COOK MEDICAL TECHNOLOGIES LLC,0,3,4,0,3,10
6499,21,MA,(U.S.),MASSACHUSETTS,DASSAULT SYSTEMES SOLIDWORKS CORPORATION,4,1,1,1,3,10
6500,21,MA,(U.S.),MASSACHUSETTS,"EPIC TECHNOLOGIES, INC.",1,2,2,5,0,10
6501,21,MA,(U.S.),MASSACHUSETTS,FEI COMPANY,3,2,4,1,0,10
6502,21,MA,(U.S.),MASSACHUSETTS,FIBERSPAR CORPORATION,2,3,1,0,4,10
6503,21,MA,(U.S.),MASSACHUSETTS,"FRX POLYMERS, INC.",4,2,1,2,1,10
6504,21,MA,(U.S.),MASSACHUSETTS,HITACHI ZOSEN CORPORATION,0,0,5,2,3,10
6505,21,MA,(U.S.),MASSACHUSETTS,HOLLINGSWORTH + VOSE COMPANY,0,2,3,2,3,10
6506,21,MA,(U.S.),MASSACHUSETTS,"I2 TECHNOLOGIES US, INC.",5,5,0,0,0,10
6507,21,MA,(U.S.),MASSACHUSETTS,ICOSYSTEM CORPORATION,2,3,3,1,1,10
6508,21,MA,(U.S.),MASSACHUSETTS,"KD SECURE, LLC",2,5,1,1,1,10
6509,21,MA,(U.S.),MASSACHUSETTS,KLA-TENCOR CORPORATION,2,2,2,3,1,10
6510,21,MA,(U.S.),MASSACHUSETTS,"M/A-COM TECHNOLOGY SOLUTIONS HOLDINGS, INC.",5,4,1,0,0,10
6511,21,MA,(U.S.),MASSACHUSETTS,"MAGIQ TECHNOLOGIES, INC.",6,2,2,0,0,10
6512,21,MA,(U.S.),MASSACHUSETTS,"MERRIMACK PHARMACEUTICALS, INC.",1,0,1,2,6,10
6513,21,MA,(U.S.),MASSACHUSETTS,"MOLECULAR INSIGHT PHARMACEUTICALS, INC.",1,1,2,3,3,10
6514,21,MA,(U.S.),MASSACHUSETTS,"MOVIK NETWORKS, INC.",0,1,2,3,4,10
6515,21,MA,(U.S.),MASSACHUSETTS,MUELLER INTERNATIONAL INC.,3,0,1,3,3,10
6516,21,MA,(U.S.),MASSACHUSETTS,NEW YORK MEDICAL COLLEGE,0,0,4,4,2,10
6517,21,MA,(U.S.),MASSACHUSETTS,"NMT MEDICAL, INC.",7,3,0,0,0,10
6518,21,MA,(U.S.),MASSACHUSETTS,"PALOMAR MEDICAL TECHNOLOGIES, INC.",2,4,3,1,0,10
6519,21,MA,(U.S.),MASSACHUSETTS,ROCKSTAR BIDCO L.P.,0,1,8,1,0,10
6520,21,MA,(U.S.),MASSACHUSETTS,SAINT-GOBAIN PERFORMANCE PLASTICS CORPORATION,0,4,0,2,4,10
6521,21,MA,(U.S.),MASSACHUSETTS,"SANOFI PASTEUR BIOLOGICS, LLC",1,1,1,2,5,10
6522,21,MA,(U.S.),MASSACHUSETTS,"SENSABLE TECHNOLOGIES, INC.",4,5,1,0,0,10
6523,21,MA,(U.S.),MASSACHUSETTS,"SKC HAAS DISPLAY FILMS CO., LTD.",0,0,0,8,2,10
6524,21,MA,(U.S.),MASSACHUSETTS,"SOUNDBITE COMMUNICATIONS, INC.",0,0,3,5,2,10
6525,21,MA,(U.S.),MASSACHUSETTS,"STOPLIFT, INC.",0,0,3,5,2,10
6526,21,MA,(U.S.),MASSACHUSETTS,SYMANTEC OPERATING CORPORATION,5,4,0,1,0,10
6527,21,MA,(U.S.),MASSACHUSETTS,TELLABS OPERATIONS INC.,2,2,6,0,0,10
6528,21,MA,(U.S.),MASSACHUSETTS,"THINKVILLAGE-KERFOOT, LLC",7,0,1,1,1,10
6530,21,MA,(U.S.),MASSACHUSETTS,"TRIMBLE NAVIGATION, LTD.",0,5,3,0,2,10
6531,21,MA,(U.S.),MASSACHUSETTS,"UNITED STATES OF AMERICA, DEPARTMENT OF HEALTH & HUMAN SERVICES",1,1,3,2,3,10
6532,21,MA,(U.S.),MASSACHUSETTS,UNIVERSITY OF IOWA RESEARCH FOUNDATION,3,3,3,0,1,10
6533,21,MA,(U.S.),MASSACHUSETTS,UNIVERSITY OF TEXAS,1,1,3,2,3,10
6534,21,MA,(U.S.),MASSACHUSETTS,VIRGIN INSTRUMENTS CORPORATION,4,1,0,2,3,10
6535,21,MA,(U.S.),MASSACHUSETTS,"VLT, INC.",2,4,0,1,3,10
6536,21,MA,(U.S.),MASSACHUSETTS,VOLCANO CORPORATION,2,2,0,5,1,10
6537,21,MA,(U.S.),MASSACHUSETTS,WOODS HOLE OCEANOGRAPHIC INSTITUTION,0,2,3,2,3,10
6538,21,MA,(U.S.),MASSACHUSETTS,ACCENTURE GLOBAL SERVICES LIMITED,0,0,4,4,1,9
6539,21,MA,(U.S.),MASSACHUSETTS,"ACTIFIO, INC.",0,0,1,3,5,9
6540,21,MA,(U.S.),MASSACHUSETTS,AHURA SCIENTIFIC INC.,4,3,2,0,0,9
6541,21,MA,(U.S.),MASSACHUSETTS,"AILERON THERAPEUTICS, INC.",0,3,0,3,3,9
6542,21,MA,(U.S.),MASSACHUSETTS,ALSTOM TECHNOLOGY LTD,2,1,3,1,2,9
6543,21,MA,(U.S.),MASSACHUSETTS,AMBERGEN INC.,0,1,4,2,2,9
6544,21,MA,(U.S.),MASSACHUSETTS,ARCHEMIX CORP.,2,4,3,0,0,9
6545,21,MA,(U.S.),MASSACHUSETTS,"ASPEN AEROGELS, INC.",5,0,1,1,2,9
6546,21,MA,(U.S.),MASSACHUSETTS,"BMC SOFTWARE, INC.",0,2,0,2,5,9
6547,21,MA,(U.S.),MASSACHUSETTS,"BOSTON PROBES, INC.",4,4,0,0,1,9
6548,21,MA,(U.S.),MASSACHUSETTS,"BRAINGATE CO., LLC",2,4,1,1,1,9
6549,21,MA,(U.S.),MASSACHUSETTS,BROWN UNIVERSITY,1,0,0,4,4,9
6550,21,MA,(U.S.),MASSACHUSETTS,"BYTELIGHT, INC.",0,0,3,5,1,9
6551,21,MA,(U.S.),MASSACHUSETTS,CALIFORNIA INSTITUTE OF TECHNOLOGY,3,1,0,4,1,9
6552,21,MA,(U.S.),MASSACHUSETTS,"CAMBRIDGE ENDOSCOPIC DEVICES, INC.",4,2,3,0,0,9
6553,21,MA,(U.S.),MASSACHUSETTS,CHEMGENES CORPORATION,1,2,1,3,2,9
6554,21,MA,(U.S.),MASSACHUSETTS,CLEATS LLC,2,0,3,2,2,9
6555,21,MA,(U.S.),MASSACHUSETTS,CONVERSE INC.,2,3,1,3,0,9
6556,21,MA,(U.S.),MASSACHUSETTS,"DEPUY PRODUCTS, INC.",2,2,3,2,0,9
6557,21,MA,(U.S.),MASSACHUSETTS,ELIZA CORPORATION,0,2,1,4,2,9
6558,21,MA,(U.S.),MASSACHUSETTS,"ENVIVO PHARMACEUTICALS, INC.",1,1,0,5,2,9
6559,21,MA,(U.S.),MASSACHUSETTS,"F5 NETWORKS, INC.,",0,1,1,7,0,9
6560,21,MA,(U.S.),MASSACHUSETTS,GINER ELECTROCHEMICAL SYSTEMS LLC,2,3,2,2,0,9
6561,21,MA,(U.S.),MASSACHUSETTS,"GRYPHON NETWORKS, INC.",0,2,1,4,2,9
6562,21,MA,(U.S.),MASSACHUSETTS,"HASBRO, INC.",1,2,2,2,2,9
6563,21,MA,(U.S.),MASSACHUSETTS,"HITACHI, LTD",1,0,2,3,3,9
6564,21,MA,(U.S.),MASSACHUSETTS,HONEYWELL INTERNATIONAL INC.,1,3,2,1,2,9
6565,21,MA,(U.S.),MASSACHUSETTS,INTEGRA BIOSCIENCES CORP.,0,2,2,5,0,9
6566,21,MA,(U.S.),MASSACHUSETTS,INTEL-GE CARE INNOVATIONS LLC,0,1,5,1,2,9
6567,21,MA,(U.S.),MASSACHUSETTS,"JINSALAS SOLUTIONS, LLC",0,6,0,2,1,9
6568,21,MA,(U.S.),MASSACHUSETTS,"LASERMAX ROLL SYSTEMS, INC.",1,2,1,3,2,9
6569,21,MA,(U.S.),MASSACHUSETTS,"LEVEL 3 COMMUNICATIONS, LLC",3,0,1,3,2,9
6570,21,MA,(U.S.),MASSACHUSETTS,"LUMENPULSE LIGHTING, INC.",0,0,1,3,5,9
6571,21,MA,(U.S.),MASSACHUSETTS,"M-QUBE, INC.",1,1,2,2,3,9
6572,21,MA,(U.S.),MASSACHUSETTS,MANNKIND CORPORATION,1,3,3,0,2,9
6573,21,MA,(U.S.),MASSACHUSETTS,"MEARS TECHNOLOGIES, INC.",5,3,0,1,0,9
6574,21,MA,(U.S.),MASSACHUSETTS,MENTOR GRAPHICS CORPORATION,1,0,3,2,3,9
6575,21,MA,(U.S.),MASSACHUSETTS,"MOTOROLA SOLUTIONS, INC.",0,1,3,3,2,9
6576,21,MA,(U.S.),MASSACHUSETTS,NUCLEA BIOMARKERS LLC,1,1,3,1,3,9
6577,21,MA,(U.S.),MASSACHUSETTS,"PASCALE INDUSTRIES, INC.",3,1,2,2,1,9
6578,21,MA,(U.S.),MASSACHUSETTS,PROGRESS SOFTWARE CORPORATION,2,0,4,1,2,9
6579,21,MA,(U.S.),MASSACHUSETTS,"SCI-MED LIFE SYSTEMS, INC.",4,3,0,2,0,9
6580,21,MA,(U.S.),MASSACHUSETTS,"SCIENCE RESEARCH LABORATORY, INC.",3,0,2,2,2,9
6581,21,MA,(U.S.),MASSACHUSETTS,SPIRE CORP.,4,3,1,0,1,9
6582,21,MA,(U.S.),MASSACHUSETTS,STRATUS TECHNOLOGIES BERMUDA LTD.,1,2,5,1,0,9
6583,21,MA,(U.S.),MASSACHUSETTS,SYNOPSYS INC.,0,0,1,4,4,9
6584,21,MA,(U.S.),MASSACHUSETTS,TIAX LLC,1,2,5,0,1,9
6585,21,MA,(U.S.),MASSACHUSETTS,TOMOPHASE CORPORATION,2,3,0,3,1,9
6586,21,MA,(U.S.),MASSACHUSETTS,"TROY INDUSTRIES, INC.",0,0,0,3,6,9
6587,21,MA,(U.S.),MASSACHUSETTS,"TURBOCHEF TECHNOLOGIES, INC.",2,4,1,0,2,9
6588,21,MA,(U.S.),MASSACHUSETTS,"UMAGINATION LABS, L.P.",2,7,0,0,0,9
6589,21,MA,(U.S.),MASSACHUSETTS,"VALIDITY SENSORS, INC.",1,1,4,3,0,9
6590,21,MA,(U.S.),MASSACHUSETTS,"3D SYSTEMS, INC.",0,1,2,4,1,8
6591,21,MA,(U.S.),MASSACHUSETTS,ALKERMES PHARMA IRELAND LIMITED,0,0,0,3,5,8
6592,21,MA,(U.S.),MASSACHUSETTS,AMS RESEARCH CORPORATION,1,1,1,2,3,8
6593,21,MA,(U.S.),MASSACHUSETTS,"ATTENUEX TECHNOLOGIES, INC.",0,1,1,1,5,8
6594,21,MA,(U.S.),MASSACHUSETTS,"AUTONOMY, INC.",0,0,3,5,0,8
6595,21,MA,(U.S.),MASSACHUSETTS,BABCOCK POWER ENVIRONMENTAL INC.,2,2,4,0,0,8
6596,21,MA,(U.S.),MASSACHUSETTS,BBN TECHNOLOGIES CORP.,6,0,0,0,2,8
6597,21,MA,(U.S.),MASSACHUSETTS,"BIO-RAD LABORATORIES, INC.",1,3,1,2,1,8
6598,21,MA,(U.S.),MASSACHUSETTS,"BLUEFIN LABS, INC.",0,0,1,5,2,8
6599,21,MA,(U.S.),MASSACHUSETTS,"BOTULINUM TOXIN RESEARCH ASSOCIATES, INC.",2,1,2,1,2,8
6600,21,MA,(U.S.),MASSACHUSETTS,BRAUN GMBH,0,1,2,2,3,8
6601,21,MA,(U.S.),MASSACHUSETTS,BUTLER HOME PRODUCTS LLC,1,1,3,3,0,8
6602,21,MA,(U.S.),MASSACHUSETTS,"CALIX, INC.",0,0,3,2,3,8
6603,21,MA,(U.S.),MASSACHUSETTS,"CATABASIS PHARMACEUTICALS, INC.",0,0,3,0,5,8
6604,21,MA,(U.S.),MASSACHUSETTS,COMPUWARE CORPORATION,2,3,1,2,0,8
6605,21,MA,(U.S.),MASSACHUSETTS,"CUBIST PHARMACEUTICALS, INC.",0,2,0,2,4,8
6606,21,MA,(U.S.),MASSACHUSETTS,"DRESSER, INC.",1,1,1,2,3,8
6607,21,MA,(U.S.),MASSACHUSETTS,"ENDOEVOLUTION, LLC",0,4,1,1,2,8
6608,21,MA,(U.S.),MASSACHUSETTS,"ENDURANCE INTERNATIONAL GROUP, INC.",0,0,0,1,7,8
6609,21,MA,(U.S.),MASSACHUSETTS,ENERGETIQ TECHNOLOGY INC.,1,3,3,1,0,8
6610,21,MA,(U.S.),MASSACHUSETTS,"EPIZYME, INC.",0,0,0,3,5,8
6611,21,MA,(U.S.),MASSACHUSETTS,"ESCRIPTION, INC.",2,3,3,0,0,8
6612,21,MA,(U.S.),MASSACHUSETTS,ETEX CORPORATION,1,0,3,3,1,8
6613,21,MA,(U.S.),MASSACHUSETTS,"FACEBOOK, INC.",0,0,0,2,6,8
6614,21,MA,(U.S.),MASSACHUSETTS,"FRANKLIN SPORTS, INC.",1,2,2,0,3,8
6615,21,MA,(U.S.),MASSACHUSETTS,"GENETICS INSTITUTE, INC.",4,3,1,0,0,8
6616,21,MA,(U.S.),MASSACHUSETTS,"GEO2 TECHNOLOGIES, INC.",4,4,0,0,0,8
6617,21,MA,(U.S.),MASSACHUSETTS,"GYRUS ACMI, INC.",0,0,2,5,1,8
6618,21,MA,(U.S.),MASSACHUSETTS,HELICOS BIOSCIENCES CORPORATION,3,3,2,0,0,8
6619,21,MA,(U.S.),MASSACHUSETTS,"HYPERMED IMAGING, INC.",0,0,2,4,2,8
6620,21,MA,(U.S.),MASSACHUSETTS,IDATECH LLC,2,5,1,0,0,8
6621,21,MA,(U.S.),MASSACHUSETTS,"IDENIX PHARMACEUTICALS, INC.",2,2,1,1,2,8
6622,21,MA,(U.S.),MASSACHUSETTS,IDENTIX INCORPORATED,0,2,3,3,0,8
6623,21,MA,(U.S.),MASSACHUSETTS,"IMPRIVATA, INC.",1,2,2,0,3,8
6624,21,MA,(U.S.),MASSACHUSETTS,"INEOQUEST TECHNOLOGIES, INC.",2,2,1,1,2,8
6625,21,MA,(U.S.),MASSACHUSETTS,"INFRARED NEWCO, INC.",0,3,1,0,4,8
6626,21,MA,(U.S.),MASSACHUSETTS,"INFRAREDX, INC.",2,6,0,0,0,8
6627,21,MA,(U.S.),MASSACHUSETTS,INNER TITE (A DIVISION OF YARA ENGINEERING CORPORATION),2,2,1,1,2,8
6628,21,MA,(U.S.),MASSACHUSETTS,"INNOPAD, INC.",0,1,2,5,0,8
6629,21,MA,(U.S.),MASSACHUSETTS,"INTELLIGENT BIO-SYSTEMS, INC.",0,0,0,3,5,8
6630,21,MA,(U.S.),MASSACHUSETTS,"KEURIG, INC.",1,0,1,5,1,8
6631,21,MA,(U.S.),MASSACHUSETTS,LA JOLLA PHARMACEUTICAL COMPANY,0,0,2,2,4,8
6632,21,MA,(U.S.),MASSACHUSETTS,"LEARNING CURVE BRANDS, INC.",0,1,1,4,2,8
6633,21,MA,(U.S.),MASSACHUSETTS,"MEMSIC, INC.",3,0,2,3,0,8
6634,21,MA,(U.S.),MASSACHUSETTS,"MERSANA THERAPEUTICS, INC.",0,0,0,4,4,8
6635,21,MA,(U.S.),MASSACHUSETTS,MICROSCAN SYSTEMS INCORPORATED,2,4,1,1,0,8
6636,21,MA,(U.S.),MASSACHUSETTS,OSRAM GMBH,0,2,4,2,0,8
6637,21,MA,(U.S.),MASSACHUSETTS,"PSIVIDA US, INC.",0,1,2,2,3,8
6638,21,MA,(U.S.),MASSACHUSETTS,SAINT-GOBAIN CENTRE DE RECHERCHES ET D'ETUDES EUROPEEN,1,0,5,2,0,8
6639,21,MA,(U.S.),MASSACHUSETTS,"SAS INSTITUTE, INC.",3,2,1,0,2,8
6640,21,MA,(U.S.),MASSACHUSETTS,"SENSATA TECHNOLOGIES, INC.",2,2,3,0,1,8
6641,21,MA,(U.S.),MASSACHUSETTS,"SHASER, INC.",1,0,4,2,1,8
6642,21,MA,(U.S.),MASSACHUSETTS,"SHIRE HUMAN GENETIC THERAPIES, INC.",2,0,0,2,4,8
6643,21,MA,(U.S.),MASSACHUSETTS,SIGE SEMICONDUCTOR INC.,0,0,3,2,3,8
6644,21,MA,(U.S.),MASSACHUSETTS,"SMARTCELLS, INC.",1,0,0,2,5,8
6645,21,MA,(U.S.),MASSACHUSETTS,"SPRING CONSULTING GROUP, LLC",1,2,4,0,1,8
6646,21,MA,(U.S.),MASSACHUSETTS,STARENT NETWORKS CORPORATION,1,7,0,0,0,8
6647,21,MA,(U.S.),MASSACHUSETTS,"SYBASE, INC.",1,0,2,2,3,8
6648,21,MA,(U.S.),MASSACHUSETTS,TERATECH CORPORATION,0,1,2,3,2,8
6649,21,MA,(U.S.),MASSACHUSETTS,UNIVERSITY OF MASSACHUSETTS AT LOWELL,4,0,2,1,1,8
6650,21,MA,(U.S.),MASSACHUSETTS,"VEVEO, INC.",0,3,0,2,3,8
6651,21,MA,(U.S.),MASSACHUSETTS,"VIRTUALAGILITY, INC",1,1,3,1,2,8
6652,21,MA,(U.S.),MASSACHUSETTS,"WARRIOR SPORTS, INC.",1,5,1,1,0,8
6653,21,MA,(U.S.),MASSACHUSETTS,YALE UNIVERSITY,2,2,1,1,2,8
6654,21,MA,(U.S.),MASSACHUSETTS,ABBOTT BIOTECHNOLOGY LTD.,0,1,3,3,0,7
6655,21,MA,(U.S.),MASSACHUSETTS,ABBOTT DIABETES CARE INC.,0,1,3,3,0,7
6656,21,MA,(U.S.),MASSACHUSETTS,ABBVIE BIOTECHNOLOGY LTD.,0,0,0,0,7,7
6657,21,MA,(U.S.),MASSACHUSETTS,ABL IP HOLDING LLC,1,3,2,1,0,7
6658,21,MA,(U.S.),MASSACHUSETTS,"ADVANCED ION BEAM TECHNOLOGY, INC.",1,2,3,1,0,7
